left,top,right,bottom
3447198.0312299998000000,-1363124.4528300001000000,3451585.8932758411000000,-1366924.4528300001000000
3447198.0312299998000000,-1366924.4528300001000000,3451585.8932758411000000,-1370724.4528300001000000
3447198.0312299998000000,-1370724.4528300001000000,3451585.8932758411000000,-1374524.4528300001000000
3447198.0312299998000000,-1374524.4528300001000000,3451585.8932758411000000,-1378324.4528300001000000
3447198.0312299998000000,-1378324.4528300001000000,3451585.8932758411000000,-1382124.4528300001000000
3447198.0312299998000000,-1382124.4528300001000000,3451585.8932758411000000,-1385924.4528300001000000
3447198.0312299998000000,-1385924.4528300001000000,3451585.8932758411000000,-1389724.4528300001000000
3447198.0312299998000000,-1389724.4528300001000000,3451585.8932758411000000,-1393524.4528300001000000
3447198.0312299998000000,-1393524.4528300001000000,3451585.8932758411000000,-1397324.4528300001000000
3447198.0312299998000000,-1397324.4528300001000000,3451585.8932758411000000,-1401124.4528300001000000
3447198.0312299998000000,-1401124.4528300001000000,3451585.8932758411000000,-1404924.4528300001000000
3447198.0312299998000000,-1404924.4528300001000000,3451585.8932758411000000,-1408724.4528300001000000
3447198.0312299998000000,-1408724.4528300001000000,3451585.8932758411000000,-1412524.4528300001000000
3447198.0312299998000000,-1412524.4528300001000000,3451585.8932758411000000,-1416324.4528300001000000
3447198.0312299998000000,-1416324.4528300001000000,3451585.8932758411000000,-1420124.4528300001000000
3447198.0312299998000000,-1420124.4528300001000000,3451585.8932758411000000,-1423924.4528300001000000
3447198.0312299998000000,-1423924.4528300001000000,3451585.8932758411000000,-1427724.4528300001000000
3447198.0312299998000000,-1427724.4528300001000000,3451585.8932758411000000,-1431524.4528300001000000
3447198.0312299998000000,-1431524.4528300001000000,3451585.8932758411000000,-1435324.4528300001000000
3447198.0312299998000000,-1435324.4528300001000000,3451585.8932758411000000,-1439124.4528300001000000
3447198.0312299998000000,-1439124.4528300001000000,3451585.8932758411000000,-1442924.4528300001000000
3447198.0312299998000000,-1442924.4528300001000000,3451585.8932758411000000,-1446724.4528300001000000
3447198.0312299998000000,-1446724.4528300001000000,3451585.8932758411000000,-1450524.4528300001000000
3447198.0312299998000000,-1450524.4528300001000000,3451585.8932758411000000,-1454324.4528300001000000
3447198.0312299998000000,-1454324.4528300001000000,3451585.8932758411000000,-1458124.4528300001000000
3447198.0312299998000000,-1458124.4528300001000000,3451585.8932758411000000,-1461924.4528300001000000
3447198.0312299998000000,-1461924.4528300001000000,3451585.8932758411000000,-1465724.4528300001000000
3447198.0312299998000000,-1465724.4528300001000000,3451585.8932758411000000,-1469524.4528300001000000
3447198.0312299998000000,-1469524.4528300001000000,3451585.8932758411000000,-1473324.4528300001000000
3447198.0312299998000000,-1473324.4528300001000000,3451585.8932758411000000,-1477124.4528300001000000
3447198.0312299998000000,-1477124.4528300001000000,3451585.8932758411000000,-1480924.4528300001000000
3447198.0312299998000000,-1480924.4528300001000000,3451585.8932758411000000,-1484724.4528300001000000
3447198.0312299998000000,-1484724.4528300001000000,3451585.8932758411000000,-1488524.4528300001000000
3447198.0312299998000000,-1488524.4528300001000000,3451585.8932758411000000,-1492324.4528300001000000
3447198.0312299998000000,-1492324.4528300001000000,3451585.8932758411000000,-1496124.4528300001000000
3447198.0312299998000000,-1496124.4528300001000000,3451585.8932758411000000,-1499924.4528300001000000
3447198.0312299998000000,-1499924.4528300001000000,3451585.8932758411000000,-1503724.4528300001000000
3447198.0312299998000000,-1503724.4528300001000000,3451585.8932758411000000,-1507524.4528300001000000
3447198.0312299998000000,-1507524.4528300001000000,3451585.8932758411000000,-1511324.4528300001000000
3447198.0312299998000000,-1511324.4528300001000000,3451585.8932758411000000,-1515124.4528300001000000
3447198.0312299998000000,-1515124.4528300001000000,3451585.8932758411000000,-1518924.4528300001000000
3447198.0312299998000000,-1518924.4528300001000000,3451585.8932758411000000,-1522724.4528300001000000
3447198.0312299998000000,-1522724.4528300001000000,3451585.8932758411000000,-1526524.4528300001000000
3447198.0312299998000000,-1526524.4528300001000000,3451585.8932758411000000,-1530324.4528300001000000
3447198.0312299998000000,-1530324.4528300001000000,3451585.8932758411000000,-1534124.4528300001000000
3447198.0312299998000000,-1534124.4528300001000000,3451585.8932758411000000,-1537924.4528300001000000
3447198.0312299998000000,-1537924.4528300001000000,3451585.8932758411000000,-1541724.4528300001000000
3447198.0312299998000000,-1541724.4528300001000000,3451585.8932758411000000,-1545524.4528300001000000
3447198.0312299998000000,-1545524.4528300001000000,3451585.8932758411000000,-1549324.4528300001000000
3447198.0312299998000000,-1549324.4528300001000000,3451585.8932758411000000,-1553124.4528300001000000
3447198.0312299998000000,-1553124.4528300001000000,3451585.8932758411000000,-1556924.4528300001000000
3447198.0312299998000000,-1556924.4528300001000000,3451585.8932758411000000,-1560724.4528300001000000
3447198.0312299998000000,-1560724.4528300001000000,3451585.8932758411000000,-1564524.4528300001000000
3450488.9277643808000000,-1251024.4528300001000000,3454876.7898102221000000,-1254824.4528300001000000
3450488.9277643808000000,-1254824.4528300001000000,3454876.7898102221000000,-1258624.4528300001000000
3450488.9277643808000000,-1258624.4528300001000000,3454876.7898102221000000,-1262424.4528300001000000
3450488.9277643808000000,-1262424.4528300001000000,3454876.7898102221000000,-1266224.4528300001000000
3450488.9277643808000000,-1266224.4528300001000000,3454876.7898102221000000,-1270024.4528300001000000
3450488.9277643808000000,-1270024.4528300001000000,3454876.7898102221000000,-1273824.4528300001000000
3450488.9277643808000000,-1273824.4528300001000000,3454876.7898102221000000,-1277624.4528300001000000
3450488.9277643808000000,-1277624.4528300001000000,3454876.7898102221000000,-1281424.4528300001000000
3450488.9277643808000000,-1281424.4528300001000000,3454876.7898102221000000,-1285224.4528300001000000
3450488.9277643808000000,-1285224.4528300001000000,3454876.7898102221000000,-1289024.4528300001000000
3450488.9277643808000000,-1289024.4528300001000000,3454876.7898102221000000,-1292824.4528300001000000
3450488.9277643808000000,-1292824.4528300001000000,3454876.7898102221000000,-1296624.4528300001000000
3450488.9277643808000000,-1296624.4528300001000000,3454876.7898102221000000,-1300424.4528300001000000
3450488.9277643808000000,-1300424.4528300001000000,3454876.7898102221000000,-1304224.4528300001000000
3450488.9277643808000000,-1304224.4528300001000000,3454876.7898102221000000,-1308024.4528300001000000
3450488.9277643808000000,-1308024.4528300001000000,3454876.7898102221000000,-1311824.4528300001000000
3450488.9277643808000000,-1311824.4528300001000000,3454876.7898102221000000,-1315624.4528300001000000
3450488.9277643808000000,-1315624.4528300001000000,3454876.7898102221000000,-1319424.4528300001000000
3450488.9277643808000000,-1319424.4528300001000000,3454876.7898102221000000,-1323224.4528300001000000
3450488.9277643808000000,-1323224.4528300001000000,3454876.7898102221000000,-1327024.4528300001000000
3450488.9277643808000000,-1327024.4528300001000000,3454876.7898102221000000,-1330824.4528300001000000
3450488.9277643808000000,-1330824.4528300001000000,3454876.7898102221000000,-1334624.4528300001000000
3450488.9277643808000000,-1334624.4528300001000000,3454876.7898102221000000,-1338424.4528300001000000
3450488.9277643808000000,-1338424.4528300001000000,3454876.7898102221000000,-1342224.4528300001000000
3450488.9277643808000000,-1342224.4528300001000000,3454876.7898102221000000,-1346024.4528300001000000
3450488.9277643808000000,-1346024.4528300001000000,3454876.7898102221000000,-1349824.4528300001000000
3450488.9277643808000000,-1349824.4528300001000000,3454876.7898102221000000,-1353624.4528300001000000
3450488.9277643808000000,-1353624.4528300001000000,3454876.7898102221000000,-1357424.4528300001000000
3450488.9277643808000000,-1357424.4528300001000000,3454876.7898102221000000,-1361224.4528300001000000
3450488.9277643808000000,-1361224.4528300001000000,3454876.7898102221000000,-1365024.4528300001000000
3450488.9277643808000000,-1365024.4528300001000000,3454876.7898102221000000,-1368824.4528300001000000
3450488.9277643808000000,-1368824.4528300001000000,3454876.7898102221000000,-1372624.4528300001000000
3450488.9277643808000000,-1372624.4528300001000000,3454876.7898102221000000,-1376424.4528300001000000
3450488.9277643808000000,-1376424.4528300001000000,3454876.7898102221000000,-1380224.4528300001000000
3450488.9277643808000000,-1380224.4528300001000000,3454876.7898102221000000,-1384024.4528300001000000
3450488.9277643808000000,-1384024.4528300001000000,3454876.7898102221000000,-1387824.4528300001000000
3450488.9277643808000000,-1387824.4528300001000000,3454876.7898102221000000,-1391624.4528300001000000
3450488.9277643808000000,-1391624.4528300001000000,3454876.7898102221000000,-1395424.4528300001000000
3450488.9277643808000000,-1395424.4528300001000000,3454876.7898102221000000,-1399224.4528300001000000
3450488.9277643808000000,-1399224.4528300001000000,3454876.7898102221000000,-1403024.4528300001000000
3450488.9277643808000000,-1403024.4528300001000000,3454876.7898102221000000,-1406824.4528300001000000
3450488.9277643808000000,-1406824.4528300001000000,3454876.7898102221000000,-1410624.4528300001000000
3450488.9277643808000000,-1410624.4528300001000000,3454876.7898102221000000,-1414424.4528300001000000
3450488.9277643808000000,-1414424.4528300001000000,3454876.7898102221000000,-1418224.4528300001000000
3450488.9277643808000000,-1418224.4528300001000000,3454876.7898102221000000,-1422024.4528300001000000
3450488.9277643808000000,-1422024.4528300001000000,3454876.7898102221000000,-1425824.4528300001000000
3450488.9277643808000000,-1425824.4528300001000000,3454876.7898102221000000,-1429624.4528300001000000
3450488.9277643808000000,-1429624.4528300001000000,3454876.7898102221000000,-1433424.4528300001000000
3450488.9277643808000000,-1433424.4528300001000000,3454876.7898102221000000,-1437224.4528300001000000
3450488.9277643808000000,-1437224.4528300001000000,3454876.7898102221000000,-1441024.4528300001000000
3450488.9277643808000000,-1441024.4528300001000000,3454876.7898102221000000,-1444824.4528300001000000
3450488.9277643808000000,-1444824.4528300001000000,3454876.7898102221000000,-1448624.4528300001000000
3450488.9277643808000000,-1448624.4528300001000000,3454876.7898102221000000,-1452424.4528300001000000
3450488.9277643808000000,-1452424.4528300001000000,3454876.7898102221000000,-1456224.4528300001000000
3450488.9277643808000000,-1456224.4528300001000000,3454876.7898102221000000,-1460024.4528300001000000
3450488.9277643808000000,-1460024.4528300001000000,3454876.7898102221000000,-1463824.4528300001000000
3450488.9277643808000000,-1463824.4528300001000000,3454876.7898102221000000,-1467624.4528300001000000
3450488.9277643808000000,-1467624.4528300001000000,3454876.7898102221000000,-1471424.4528300001000000
3450488.9277643808000000,-1471424.4528300001000000,3454876.7898102221000000,-1475224.4528300001000000
3450488.9277643808000000,-1475224.4528300001000000,3454876.7898102221000000,-1479024.4528300001000000
3450488.9277643808000000,-1479024.4528300001000000,3454876.7898102221000000,-1482824.4528300001000000
3450488.9277643808000000,-1482824.4528300001000000,3454876.7898102221000000,-1486624.4528300001000000
3450488.9277643808000000,-1486624.4528300001000000,3454876.7898102221000000,-1490424.4528300001000000
3450488.9277643808000000,-1490424.4528300001000000,3454876.7898102221000000,-1494224.4528300001000000
3450488.9277643808000000,-1494224.4528300001000000,3454876.7898102221000000,-1498024.4528300001000000
3450488.9277643808000000,-1498024.4528300001000000,3454876.7898102221000000,-1501824.4528300001000000
3450488.9277643808000000,-1501824.4528300001000000,3454876.7898102221000000,-1505624.4528300001000000
3450488.9277643808000000,-1505624.4528300001000000,3454876.7898102221000000,-1509424.4528300001000000
3450488.9277643808000000,-1509424.4528300001000000,3454876.7898102221000000,-1513224.4528300001000000
3450488.9277643808000000,-1513224.4528300001000000,3454876.7898102221000000,-1517024.4528300001000000
3450488.9277643808000000,-1517024.4528300001000000,3454876.7898102221000000,-1520824.4528300001000000
3450488.9277643808000000,-1520824.4528300001000000,3454876.7898102221000000,-1524624.4528300001000000
3450488.9277643808000000,-1524624.4528300001000000,3454876.7898102221000000,-1528424.4528300001000000
3450488.9277643808000000,-1528424.4528300001000000,3454876.7898102221000000,-1532224.4528300001000000
3450488.9277643808000000,-1532224.4528300001000000,3454876.7898102221000000,-1536024.4528300001000000
3450488.9277643808000000,-1536024.4528300001000000,3454876.7898102221000000,-1539824.4528300001000000
3450488.9277643808000000,-1539824.4528300001000000,3454876.7898102221000000,-1543624.4528300001000000
3450488.9277643808000000,-1543624.4528300001000000,3454876.7898102221000000,-1547424.4528300001000000
3450488.9277643808000000,-1547424.4528300001000000,3454876.7898102221000000,-1551224.4528300001000000
3450488.9277643808000000,-1551224.4528300001000000,3454876.7898102221000000,-1555024.4528300001000000
3450488.9277643808000000,-1555024.4528300001000000,3454876.7898102221000000,-1558824.4528300001000000
3450488.9277643808000000,-1558824.4528300001000000,3454876.7898102221000000,-1562624.4528300001000000
3450488.9277643808000000,-1562624.4528300001000000,3454876.7898102221000000,-1566424.4528300001000000
3453779.8242987618000000,-1249124.4528300001000000,3458167.6863446026000000,-1252924.4528300001000000
3453779.8242987618000000,-1252924.4528300001000000,3458167.6863446026000000,-1256724.4528300001000000
3453779.8242987618000000,-1256724.4528300001000000,3458167.6863446026000000,-1260524.4528300001000000
3453779.8242987618000000,-1260524.4528300001000000,3458167.6863446026000000,-1264324.4528300001000000
3453779.8242987618000000,-1264324.4528300001000000,3458167.6863446026000000,-1268124.4528300001000000
3453779.8242987618000000,-1268124.4528300001000000,3458167.6863446026000000,-1271924.4528300001000000
3453779.8242987618000000,-1271924.4528300001000000,3458167.6863446026000000,-1275724.4528300001000000
3453779.8242987618000000,-1275724.4528300001000000,3458167.6863446026000000,-1279524.4528300001000000
3453779.8242987618000000,-1279524.4528300001000000,3458167.6863446026000000,-1283324.4528300001000000
3453779.8242987618000000,-1283324.4528300001000000,3458167.6863446026000000,-1287124.4528300001000000
3453779.8242987618000000,-1287124.4528300001000000,3458167.6863446026000000,-1290924.4528300001000000
3453779.8242987618000000,-1290924.4528300001000000,3458167.6863446026000000,-1294724.4528300001000000
3453779.8242987618000000,-1294724.4528300001000000,3458167.6863446026000000,-1298524.4528300001000000
3453779.8242987618000000,-1298524.4528300001000000,3458167.6863446026000000,-1302324.4528300001000000
3453779.8242987618000000,-1302324.4528300001000000,3458167.6863446026000000,-1306124.4528300001000000
3453779.8242987618000000,-1306124.4528300001000000,3458167.6863446026000000,-1309924.4528300001000000
3453779.8242987618000000,-1309924.4528300001000000,3458167.6863446026000000,-1313724.4528300001000000
3453779.8242987618000000,-1313724.4528300001000000,3458167.6863446026000000,-1317524.4528300001000000
3453779.8242987618000000,-1317524.4528300001000000,3458167.6863446026000000,-1321324.4528300001000000
3453779.8242987618000000,-1321324.4528300001000000,3458167.6863446026000000,-1325124.4528300001000000
3453779.8242987618000000,-1325124.4528300001000000,3458167.6863446026000000,-1328924.4528300001000000
3453779.8242987618000000,-1328924.4528300001000000,3458167.6863446026000000,-1332724.4528300001000000
3453779.8242987618000000,-1332724.4528300001000000,3458167.6863446026000000,-1336524.4528300001000000
3453779.8242987618000000,-1336524.4528300001000000,3458167.6863446026000000,-1340324.4528300001000000
3453779.8242987618000000,-1340324.4528300001000000,3458167.6863446026000000,-1344124.4528300001000000
3453779.8242987618000000,-1344124.4528300001000000,3458167.6863446026000000,-1347924.4528300001000000
3453779.8242987618000000,-1347924.4528300001000000,3458167.6863446026000000,-1351724.4528300001000000
3453779.8242987618000000,-1351724.4528300001000000,3458167.6863446026000000,-1355524.4528300001000000
3453779.8242987618000000,-1355524.4528300001000000,3458167.6863446026000000,-1359324.4528300001000000
3453779.8242987618000000,-1359324.4528300001000000,3458167.6863446026000000,-1363124.4528300001000000
3453779.8242987618000000,-1363124.4528300001000000,3458167.6863446026000000,-1366924.4528300001000000
3453779.8242987618000000,-1366924.4528300001000000,3458167.6863446026000000,-1370724.4528300001000000
3453779.8242987618000000,-1370724.4528300001000000,3458167.6863446026000000,-1374524.4528300001000000
3453779.8242987618000000,-1374524.4528300001000000,3458167.6863446026000000,-1378324.4528300001000000
3453779.8242987618000000,-1378324.4528300001000000,3458167.6863446026000000,-1382124.4528300001000000
3453779.8242987618000000,-1382124.4528300001000000,3458167.6863446026000000,-1385924.4528300001000000
3453779.8242987618000000,-1385924.4528300001000000,3458167.6863446026000000,-1389724.4528300001000000
3453779.8242987618000000,-1389724.4528300001000000,3458167.6863446026000000,-1393524.4528300001000000
3453779.8242987618000000,-1393524.4528300001000000,3458167.6863446026000000,-1397324.4528300001000000
3453779.8242987618000000,-1397324.4528300001000000,3458167.6863446026000000,-1401124.4528300001000000
3453779.8242987618000000,-1401124.4528300001000000,3458167.6863446026000000,-1404924.4528300001000000
3453779.8242987618000000,-1404924.4528300001000000,3458167.6863446026000000,-1408724.4528300001000000
3453779.8242987618000000,-1408724.4528300001000000,3458167.6863446026000000,-1412524.4528300001000000
3453779.8242987618000000,-1412524.4528300001000000,3458167.6863446026000000,-1416324.4528300001000000
3453779.8242987618000000,-1416324.4528300001000000,3458167.6863446026000000,-1420124.4528300001000000
3453779.8242987618000000,-1420124.4528300001000000,3458167.6863446026000000,-1423924.4528300001000000
3453779.8242987618000000,-1423924.4528300001000000,3458167.6863446026000000,-1427724.4528300001000000
3453779.8242987618000000,-1427724.4528300001000000,3458167.6863446026000000,-1431524.4528300001000000
3453779.8242987618000000,-1431524.4528300001000000,3458167.6863446026000000,-1435324.4528300001000000
3453779.8242987618000000,-1435324.4528300001000000,3458167.6863446026000000,-1439124.4528300001000000
3453779.8242987618000000,-1439124.4528300001000000,3458167.6863446026000000,-1442924.4528300001000000
3453779.8242987618000000,-1442924.4528300001000000,3458167.6863446026000000,-1446724.4528300001000000
3453779.8242987618000000,-1446724.4528300001000000,3458167.6863446026000000,-1450524.4528300001000000
3453779.8242987618000000,-1450524.4528300001000000,3458167.6863446026000000,-1454324.4528300001000000
3453779.8242987618000000,-1454324.4528300001000000,3458167.6863446026000000,-1458124.4528300001000000
3453779.8242987618000000,-1458124.4528300001000000,3458167.6863446026000000,-1461924.4528300001000000
3453779.8242987618000000,-1461924.4528300001000000,3458167.6863446026000000,-1465724.4528300001000000
3453779.8242987618000000,-1465724.4528300001000000,3458167.6863446026000000,-1469524.4528300001000000
3453779.8242987618000000,-1469524.4528300001000000,3458167.6863446026000000,-1473324.4528300001000000
3453779.8242987618000000,-1473324.4528300001000000,3458167.6863446026000000,-1477124.4528300001000000
3453779.8242987618000000,-1477124.4528300001000000,3458167.6863446026000000,-1480924.4528300001000000
3453779.8242987618000000,-1480924.4528300001000000,3458167.6863446026000000,-1484724.4528300001000000
3453779.8242987618000000,-1484724.4528300001000000,3458167.6863446026000000,-1488524.4528300001000000
3453779.8242987618000000,-1488524.4528300001000000,3458167.6863446026000000,-1492324.4528300001000000
3453779.8242987618000000,-1492324.4528300001000000,3458167.6863446026000000,-1496124.4528300001000000
3453779.8242987618000000,-1496124.4528300001000000,3458167.6863446026000000,-1499924.4528300001000000
3453779.8242987618000000,-1499924.4528300001000000,3458167.6863446026000000,-1503724.4528300001000000
3453779.8242987618000000,-1503724.4528300001000000,3458167.6863446026000000,-1507524.4528300001000000
3453779.8242987618000000,-1507524.4528300001000000,3458167.6863446026000000,-1511324.4528300001000000
3453779.8242987618000000,-1511324.4528300001000000,3458167.6863446026000000,-1515124.4528300001000000
3453779.8242987618000000,-1515124.4528300001000000,3458167.6863446026000000,-1518924.4528300001000000
3453779.8242987618000000,-1518924.4528300001000000,3458167.6863446026000000,-1522724.4528300001000000
3453779.8242987618000000,-1522724.4528300001000000,3458167.6863446026000000,-1526524.4528300001000000
3453779.8242987618000000,-1526524.4528300001000000,3458167.6863446026000000,-1530324.4528300001000000
3453779.8242987618000000,-1530324.4528300001000000,3458167.6863446026000000,-1534124.4528300001000000
3453779.8242987618000000,-1534124.4528300001000000,3458167.6863446026000000,-1537924.4528300001000000
3453779.8242987618000000,-1537924.4528300001000000,3458167.6863446026000000,-1541724.4528300001000000
3453779.8242987618000000,-1541724.4528300001000000,3458167.6863446026000000,-1545524.4528300001000000
3453779.8242987618000000,-1545524.4528300001000000,3458167.6863446026000000,-1549324.4528300001000000
3453779.8242987618000000,-1549324.4528300001000000,3458167.6863446026000000,-1553124.4528300001000000
3453779.8242987618000000,-1553124.4528300001000000,3458167.6863446026000000,-1556924.4528300001000000
3453779.8242987618000000,-1556924.4528300001000000,3458167.6863446026000000,-1560724.4528300001000000
3453779.8242987618000000,-1560724.4528300001000000,3458167.6863446026000000,-1564524.4528300001000000
3457070.7208331423000000,-1251024.4528300001000000,3461458.5828789836000000,-1254824.4528300001000000
3457070.7208331423000000,-1254824.4528300001000000,3461458.5828789836000000,-1258624.4528300001000000
3457070.7208331423000000,-1258624.4528300001000000,3461458.5828789836000000,-1262424.4528300001000000
3457070.7208331423000000,-1262424.4528300001000000,3461458.5828789836000000,-1266224.4528300001000000
3457070.7208331423000000,-1266224.4528300001000000,3461458.5828789836000000,-1270024.4528300001000000
3457070.7208331423000000,-1270024.4528300001000000,3461458.5828789836000000,-1273824.4528300001000000
3457070.7208331423000000,-1273824.4528300001000000,3461458.5828789836000000,-1277624.4528300001000000
3457070.7208331423000000,-1277624.4528300001000000,3461458.5828789836000000,-1281424.4528300001000000
3457070.7208331423000000,-1281424.4528300001000000,3461458.5828789836000000,-1285224.4528300001000000
3457070.7208331423000000,-1285224.4528300001000000,3461458.5828789836000000,-1289024.4528300001000000
3457070.7208331423000000,-1289024.4528300001000000,3461458.5828789836000000,-1292824.4528300001000000
3457070.7208331423000000,-1292824.4528300001000000,3461458.5828789836000000,-1296624.4528300001000000
3457070.7208331423000000,-1296624.4528300001000000,3461458.5828789836000000,-1300424.4528300001000000
3457070.7208331423000000,-1300424.4528300001000000,3461458.5828789836000000,-1304224.4528300001000000
3457070.7208331423000000,-1304224.4528300001000000,3461458.5828789836000000,-1308024.4528300001000000
3457070.7208331423000000,-1308024.4528300001000000,3461458.5828789836000000,-1311824.4528300001000000
3457070.7208331423000000,-1311824.4528300001000000,3461458.5828789836000000,-1315624.4528300001000000
3457070.7208331423000000,-1315624.4528300001000000,3461458.5828789836000000,-1319424.4528300001000000
3457070.7208331423000000,-1319424.4528300001000000,3461458.5828789836000000,-1323224.4528300001000000
3457070.7208331423000000,-1323224.4528300001000000,3461458.5828789836000000,-1327024.4528300001000000
3457070.7208331423000000,-1327024.4528300001000000,3461458.5828789836000000,-1330824.4528300001000000
3457070.7208331423000000,-1330824.4528300001000000,3461458.5828789836000000,-1334624.4528300001000000
3457070.7208331423000000,-1334624.4528300001000000,3461458.5828789836000000,-1338424.4528300001000000
3457070.7208331423000000,-1338424.4528300001000000,3461458.5828789836000000,-1342224.4528300001000000
3457070.7208331423000000,-1342224.4528300001000000,3461458.5828789836000000,-1346024.4528300001000000
3457070.7208331423000000,-1346024.4528300001000000,3461458.5828789836000000,-1349824.4528300001000000
3457070.7208331423000000,-1349824.4528300001000000,3461458.5828789836000000,-1353624.4528300001000000
3457070.7208331423000000,-1353624.4528300001000000,3461458.5828789836000000,-1357424.4528300001000000
3457070.7208331423000000,-1357424.4528300001000000,3461458.5828789836000000,-1361224.4528300001000000
3457070.7208331423000000,-1361224.4528300001000000,3461458.5828789836000000,-1365024.4528300001000000
3457070.7208331423000000,-1365024.4528300001000000,3461458.5828789836000000,-1368824.4528300001000000
3457070.7208331423000000,-1368824.4528300001000000,3461458.5828789836000000,-1372624.4528300001000000
3457070.7208331423000000,-1372624.4528300001000000,3461458.5828789836000000,-1376424.4528300001000000
3457070.7208331423000000,-1376424.4528300001000000,3461458.5828789836000000,-1380224.4528300001000000
3457070.7208331423000000,-1380224.4528300001000000,3461458.5828789836000000,-1384024.4528300001000000
3457070.7208331423000000,-1384024.4528300001000000,3461458.5828789836000000,-1387824.4528300001000000
3457070.7208331423000000,-1387824.4528300001000000,3461458.5828789836000000,-1391624.4528300001000000
3457070.7208331423000000,-1391624.4528300001000000,3461458.5828789836000000,-1395424.4528300001000000
3457070.7208331423000000,-1395424.4528300001000000,3461458.5828789836000000,-1399224.4528300001000000
3457070.7208331423000000,-1399224.4528300001000000,3461458.5828789836000000,-1403024.4528300001000000
3457070.7208331423000000,-1403024.4528300001000000,3461458.5828789836000000,-1406824.4528300001000000
3457070.7208331423000000,-1406824.4528300001000000,3461458.5828789836000000,-1410624.4528300001000000
3457070.7208331423000000,-1410624.4528300001000000,3461458.5828789836000000,-1414424.4528300001000000
3457070.7208331423000000,-1414424.4528300001000000,3461458.5828789836000000,-1418224.4528300001000000
3457070.7208331423000000,-1418224.4528300001000000,3461458.5828789836000000,-1422024.4528300001000000
3457070.7208331423000000,-1422024.4528300001000000,3461458.5828789836000000,-1425824.4528300001000000
3457070.7208331423000000,-1425824.4528300001000000,3461458.5828789836000000,-1429624.4528300001000000
3457070.7208331423000000,-1429624.4528300001000000,3461458.5828789836000000,-1433424.4528300001000000
3457070.7208331423000000,-1433424.4528300001000000,3461458.5828789836000000,-1437224.4528300001000000
3457070.7208331423000000,-1437224.4528300001000000,3461458.5828789836000000,-1441024.4528300001000000
3457070.7208331423000000,-1441024.4528300001000000,3461458.5828789836000000,-1444824.4528300001000000
3457070.7208331423000000,-1444824.4528300001000000,3461458.5828789836000000,-1448624.4528300001000000
3457070.7208331423000000,-1448624.4528300001000000,3461458.5828789836000000,-1452424.4528300001000000
3457070.7208331423000000,-1452424.4528300001000000,3461458.5828789836000000,-1456224.4528300001000000
